case,dice,iou
BraTS-GLI-00820-000_real_label_45,0.921735,0.854832
BraTS-GLI-00820-000_real_label_46,0.930186,0.869485
BraTS-GLI-00820-000_real_label_47,0.896305,0.812094
BraTS-GLI-00820-000_real_label_48,0.942744,0.891690
BraTS-GLI-00820-000_real_label_49,0.912868,0.839703
BraTS-GLI-00820-000_real_label_5,0.937804,0.882891
BraTS-GLI-00820-000_real_label_52,0.918675,0.849582
BraTS-GLI-00820-000_real_label_55,0.888069,0.798673
BraTS-GLI-00820-000_real_label_58,0.915698,0.844504
BraTS-GLI-00820-000_real_label_59,0.942517,0.891283
BraTS-GLI-00820-000_real_label_6,0.938727,0.884529
BraTS-GLI-00820-000_real_label_61,0.920893,0.853385
BraTS-GLI-00820-000_real_label_63,0.900626,0.819218
BraTS-GLI-00820-000_real_label_64,0.927001,0.863934
BraTS-GLI-00820-000_real_label_67,0.924237,0.859145
BraTS-GLI-00820-000_real_label_69,0.937395,0.882167
BraTS-GLI-00820-000_real_label_80,0.937721,0.882745
BraTS-GLI-00820-000_real_label_82,0.887863,0.798340
BraTS-GLI-00820-000_real_label_84,0.907815,0.831191
BraTS-GLI-00820-000_real_label_85,0.863848,0.760328
BraTS-GLI-00820-000_real_label_87,0.905676,0.827613
BraTS-GLI-00820-000_real_label_89,0.886220,0.795687
BraTS-GLI-00820-000_real_label_92,0.921856,0.855039
BraTS-GLI-00820-000_real_label_94,0.921056,0.853664
BraTS-GLI-00820-000_real_label_99,0.838288,0.721598
BraTS-GLI-00823-000_fake_label_0,0.974934,0.951094
BraTS-GLI-00823-000_fake_label_1,0.968719,0.939336
BraTS-GLI-00823-000_fake_label_10,0.963348,0.929289
BraTS-GLI-00823-000_fake_label_11,0.965193,0.932728
BraTS-GLI-00823-000_fake_label_12,0.967821,0.937649
BraTS-GLI-00823-000_fake_label_13,0.964994,0.932357
BraTS-GLI-00823-000_fake_label_14,0.964105,0.930698
BraTS-GLI-00823-000_fake_label_15,0.955707,0.915171
BraTS-GLI-00823-000_fake_label_16,0.906893,0.829647
BraTS-GLI-00823-000_fake_label_17,0.962432,0.927585
BraTS-GLI-00823-000_fake_label_18,0.958718,0.920710
BraTS-GLI-00823-000_fake_label_2,0.957894,0.919191
BraTS-GLI-00823-000_fake_label_22,0.959227,0.921649
BraTS-GLI-00823-000_fake_label_24,0.954718,0.913359
BraTS-GLI-00823-000_fake_label_27,0.959424,0.922013
BraTS-GLI-00823-000_fake_label_28,0.950403,0.905493
BraTS-GLI-00823-000_fake_label_29,0.960331,0.923689
BraTS-GLI-00823-000_fake_label_32,0.956319,0.916295
BraTS-GLI-00823-000_fake_label_33,0.971364,0.944322
BraTS-GLI-00823-000_fake_label_34,0.967582,0.937200
BraTS-GLI-00823-000_fake_label_38,0.971031,0.943693
BraTS-GLI-00823-000_fake_label_4,0.967263,0.936602
BraTS-GLI-00823-000_fake_label_42,0.962144,0.927049
BraTS-GLI-00823-000_fake_label_43,0.966523,0.935214
BraTS-GLI-00823-000_fake_label_44,0.944582,0.894985
BraTS-GLI-00823-000_fake_label_45,0.902860,0.822922
BraTS-GLI-00823-000_fake_label_48,0.957654,0.918748
BraTS-GLI-00823-000_fake_label_49,0.967793,0.937596
BraTS-GLI-00823-000_fake_label_5,0.911943,0.838140
BraTS-GLI-00823-000_fake_label_53,0.960061,0.923189
BraTS-GLI-00823-000_fake_label_54,0.956296,0.916253
BraTS-GLI-00823-000_fake_label_55,0.959090,0.921395
BraTS-GLI-00823-000_fake_label_56,0.946791,0.898959
BraTS-GLI-00823-000_fake_label_57,0.955126,0.914106
BraTS-GLI-00823-000_fake_label_58,0.959236,0.921666
BraTS-GLI-00823-000_fake_label_6,0.959804,0.922715
BraTS-GLI-00823-000_fake_label_60,0.962308,0.927354
BraTS-GLI-00823-000_fake_label_61,0.965516,0.933332
BraTS-GLI-00823-000_fake_label_62,0.961865,0.926531
BraTS-GLI-00823-000_fake_label_64,0.964846,0.932080
BraTS-GLI-00823-000_fake_label_69,0.952998,0.910215
BraTS-GLI-00823-000_fake_label_72,0.951405,0.907314
BraTS-GLI-00823-000_fake_label_75,0.963285,0.929171
BraTS-GLI-00823-000_fake_label_76,0.962628,0.927949
BraTS-GLI-00823-000_fake_label_8,0.960945,0.924827
BraTS-GLI-00823-000_fake_label_82,0.957002,0.917550
BraTS-GLI-00823-000_fake_label_83,0.966139,0.934497
BraTS-GLI-00823-000_fake_label_90,0.965807,0.933875
BraTS-GLI-00823-000_fake_label_91,0.965803,0.933867
BraTS-GLI-00823-000_fake_label_93,0.960902,0.924747
BraTS-GLI-00823-000_fake_label_95,0.958605,0.920501
BraTS-GLI-00823-000_fake_label_97,0.953715,0.911524
BraTS-GLI-00823-000_fake_label_98,0.965686,0.933649
BraTS-GLI-00823-000_fake_label_99,0.958505,0.920316
BraTS-GLI-00823-000_real_label_19,0.910689,0.836023
BraTS-GLI-00823-000_real_label_20,0.973459,0.948290
BraTS-GLI-00823-000_real_label_21,0.951775,0.907986
BraTS-GLI-00823-000_real_label_23,0.965490,0.933283
BraTS-GLI-00823-000_real_label_25,0.962185,0.927126
BraTS-GLI-00823-000_real_label_26,0.970496,0.942683
BraTS-GLI-00823-000_real_label_3,0.968253,0.938460
BraTS-GLI-00823-000_real_label_30,0.956247,0.916163
BraTS-GLI-00823-000_real_label_31,0.961510,0.925874
BraTS-GLI-00823-000_real_label_35,0.968855,0.939591
BraTS-GLI-00823-000_real_label_36,0.962615,0.927924
BraTS-GLI-00823-000_real_label_37,0.956911,0.917382
BraTS-GLI-00823-000_real_label_39,0.958752,0.920773
BraTS-GLI-00823-000_real_label_40,0.956073,0.915844
BraTS-GLI-00823-000_real_label_41,0.762206,0.615778
BraTS-GLI-00823-000_real_label_46,0.962533,0.927772
BraTS-GLI-00823-000_real_label_47,0.965974,0.934187
BraTS-GLI-00823-000_real_label_50,0.964001,0.930504
BraTS-GLI-00823-000_real_label_51,0.964989,0.932346
BraTS-GLI-00823-000_real_label_52,0.960053,0.923176
BraTS-GLI-00823-000_real_label_59,0.949183,0.903282
