case,dice_mean,dice_wt,dice_tc,dice_et,iou_mean,iou_wt,iou_tc,iou_et
BraTS-GLI-00820-000_fake_label_50,0.838580,0.921222,0.629274,0.965244,0.748618,0.853950,0.459081,0.932823
BraTS-GLI-00820-000_fake_label_51,0.810235,0.937284,0.535095,0.958325,0.722411,0.881971,0.365276,0.919985
BraTS-GLI-00820-000_fake_label_53,0.777860,0.787021,0.605909,0.940650,0.657136,0.648833,0.434626,0.887950
BraTS-GLI-00820-000_fake_label_54,0.784964,0.955831,0.426621,0.972439,0.710969,0.915399,0.271150,0.946357
BraTS-GLI-00820-000_fake_label_56,0.816482,0.926282,0.566468,0.956697,0.724944,0.862686,0.395155,0.916990
BraTS-GLI-00820-000_fake_label_57,0.784456,0.912795,0.472434,0.968140,0.695700,0.839580,0.309272,0.938248
BraTS-GLI-00820-000_fake_label_60,0.830347,0.951145,0.567116,0.972782,0.749878,0.906841,0.395786,0.947006
BraTS-GLI-00820-000_fake_label_62,0.819720,0.938722,0.554362,0.966075,0.734123,0.884520,0.383472,0.934377
BraTS-GLI-00820-000_fake_label_65,0.758665,0.884642,0.441023,0.950332,0.660467,0.793146,0.282892,0.905364
BraTS-GLI-00820-000_fake_label_66,0.810553,0.823298,0.665420,0.942943,0.696770,0.699665,0.498599,0.892045
BraTS-GLI-00820-000_fake_label_68,0.775990,0.907624,0.475623,0.944723,0.679373,0.830871,0.312011,0.895236
BraTS-GLI-00820-000_fake_label_7,0.808593,0.928375,0.528247,0.969158,0.721803,0.866325,0.358924,0.940162
BraTS-GLI-00820-000_fake_label_70,0.802887,0.926283,0.509475,0.972902,0.717244,0.862688,0.341809,0.947234
BraTS-GLI-00820-000_fake_label_71,0.820156,0.908961,0.582114,0.969395,0.728091,0.833115,0.410550,0.940608
BraTS-GLI-00820-000_fake_label_72,0.829845,0.912219,0.612021,0.965294,0.737488,0.838605,0.440944,0.932916
BraTS-GLI-00820-000_fake_label_73,0.834616,0.912583,0.627405,0.963858,0.742184,0.839221,0.457094,0.930238
BraTS-GLI-00820-000_fake_label_74,0.830195,0.887887,0.644699,0.958001,0.731150,0.798378,0.475687,0.919387
BraTS-GLI-00820-000_fake_label_75,0.829808,0.921422,0.599918,0.968084,0.740308,0.854293,0.428488,0.938143
BraTS-GLI-00820-000_fake_label_76,0.788344,0.939653,0.462710,0.962669,0.705064,0.886175,0.300991,0.928026
BraTS-GLI-00820-000_fake_label_77,0.786617,0.894336,0.506866,0.958648,0.689637,0.808868,0.339464,0.920580
BraTS-GLI-00820-000_fake_label_78,0.827774,0.919498,0.592126,0.971698,0.738843,0.850992,0.420581,0.944955
BraTS-GLI-00820-000_fake_label_79,0.835082,0.899564,0.637356,0.968326,0.741264,0.817462,0.467734,0.938596
BraTS-GLI-00820-000_fake_label_8,0.816162,0.934239,0.560854,0.953394,0.725748,0.876593,0.389713,0.910939
BraTS-GLI-00820-000_fake_label_81,0.839422,0.945059,0.602026,0.971182,0.756820,0.895841,0.430642,0.943978
BraTS-GLI-00820-000_fake_label_83,0.837125,0.906131,0.642039,0.963204,0.743397,0.828373,0.472797,0.929020
BraTS-GLI-00820-000_fake_label_86,0.812054,0.889962,0.593454,0.952746,0.711140,0.801741,0.421923,0.909756
BraTS-GLI-00820-000_fake_label_88,0.812743,0.905640,0.564030,0.968560,0.719792,0.827552,0.392787,0.939037
BraTS-GLI-00820-000_fake_label_9,0.840512,0.911737,0.641316,0.968482,0.749564,0.837791,0.472012,0.938890
BraTS-GLI-00820-000_fake_label_90,0.820130,0.904029,0.584296,0.972064,0.727746,0.824866,0.412725,0.945646
BraTS-GLI-00820-000_fake_label_91,0.822412,0.894373,0.607836,0.965027,0.725986,0.808928,0.436613,0.932417
BraTS-GLI-00820-000_fake_label_93,0.769324,0.921003,0.418052,0.968916,0.685848,0.853573,0.264264,0.939707
BraTS-GLI-00820-000_fake_label_95,0.841129,0.923344,0.645123,0.954920,0.749160,0.857603,0.476148,0.913728
BraTS-GLI-00820-000_fake_label_96,0.807748,0.908699,0.553408,0.961137,0.713472,0.832675,0.382560,0.925182
BraTS-GLI-00820-000_fake_label_97,0.745718,0.911455,0.360545,0.965154,0.663296,0.837315,0.219918,0.932654
BraTS-GLI-00820-000_fake_label_98,0.786603,0.936327,0.459059,0.964423,0.703158,0.880277,0.297908,0.931290
BraTS-GLI-00820-000_real_label_13,0.816390,0.903265,0.591718,0.954187,0.718717,0.823594,0.420170,0.912388
BraTS-GLI-00820-000_real_label_14,0.759868,0.899965,0.416572,0.963066,0.669990,0.818125,0.263082,0.928763
BraTS-GLI-00820-000_real_label_17,0.816977,0.914520,0.566820,0.969591,0.726326,0.842503,0.395498,0.940976
BraTS-GLI-00820-000_real_label_18,0.802561,0.884165,0.562329,0.961189,0.702932,0.792380,0.391139,0.925278
BraTS-GLI-00820-000_real_label_23,0.757253,0.913670,0.391133,0.966956,0.673399,0.841062,0.243111,0.936025
BraTS-GLI-00820-000_real_label_27,0.776739,0.914580,0.449589,0.966049,0.688971,0.842605,0.289981,0.934327
BraTS-GLI-00820-000_real_label_28,0.793587,0.849049,0.576936,0.954776,0.685526,0.737693,0.405419,0.913466
BraTS-GLI-00820-000_real_label_29,0.836225,0.881726,0.702365,0.924584,0.729827,0.788470,0.541266,0.859745
BraTS-GLI-00820-000_real_label_3,0.779333,0.910444,0.537726,0.889827,0.668288,0.835610,0.367733,0.801521
BraTS-GLI-00820-000_real_label_30,0.790984,0.923067,0.513320,0.936566,0.694368,0.857125,0.345279,0.880699
BraTS-GLI-00820-000_real_label_34,0.785856,0.922665,0.480841,0.954063,0.695037,0.856433,0.316518,0.912161
BraTS-GLI-00820-000_real_label_38,0.849866,0.922153,0.670496,0.956948,0.759107,0.855551,0.504320,0.917451
BraTS-GLI-00820-000_real_label_4,0.773815,0.895954,0.458940,0.966551,0.681531,0.811518,0.297808,0.935267
