case,dice_mean,dice_wt,dice_tc,dice_et,iou_mean,iou_wt,iou_tc,iou_et
BraTS-GLI-00823-000_real_label_96,0.700809,0.949718,0.305270,0.847438,0.606548,0.904250,0.180129,0.735264
BraTS-GLI-00824-000_fake_label_1,0.694860,0.761276,0.405035,0.918268,0.572466,0.614565,0.253946,0.848886
BraTS-GLI-00824-000_fake_label_14,0.734527,0.843197,0.411242,0.949141,0.630318,0.728903,0.258845,0.903206
BraTS-GLI-00824-000_fake_label_16,0.694857,0.741422,0.408116,0.935033,0.574486,0.589095,0.256373,0.877992
BraTS-GLI-00824-000_fake_label_17,0.726451,0.794172,0.442267,0.942914,0.611508,0.658611,0.283917,0.891994
BraTS-GLI-00824-000_fake_label_18,0.718336,0.781793,0.437620,0.935595,0.600280,0.641757,0.280098,0.878984
BraTS-GLI-00824-000_fake_label_2,0.719414,0.755169,0.458783,0.944290,0.599593,0.606644,0.297676,0.894459
BraTS-GLI-00824-000_fake_label_24,0.714560,0.803647,0.401929,0.938104,0.602227,0.671747,0.251509,0.883424
BraTS-GLI-00824-000_fake_label_26,0.724242,0.767028,0.463291,0.942406,0.604888,0.622096,0.301482,0.891085
BraTS-GLI-00824-000_fake_label_27,0.728058,0.804775,0.436340,0.943061,0.614877,0.673325,0.279050,0.892257
BraTS-GLI-00824-000_fake_label_29,0.735920,0.842953,0.417475,0.947332,0.630759,0.728539,0.263803,0.899935
BraTS-GLI-00824-000_fake_label_31,0.730612,0.828510,0.417603,0.945723,0.622723,0.707228,0.263905,0.897035
BraTS-GLI-00824-000_fake_label_32,0.733624,0.779682,0.473292,0.947899,0.616628,0.638917,0.310008,0.900958
BraTS-GLI-00824-000_fake_label_34,0.708391,0.793080,0.389068,0.943025,0.596940,0.657111,0.241517,0.892193
BraTS-GLI-00824-000_fake_label_35,0.707320,0.768265,0.425091,0.928605,0.586789,0.623726,0.269915,0.866725
BraTS-GLI-00824-000_fake_label_36,0.708487,0.758122,0.430100,0.937239,0.588774,0.610464,0.273966,0.881891
BraTS-GLI-00824-000_fake_label_37,0.690397,0.778380,0.350415,0.942396,0.580221,0.637170,0.212426,0.891067
BraTS-GLI-00824-000_fake_label_39,0.747415,0.811184,0.482140,0.948922,0.634266,0.682346,0.317644,0.902808
BraTS-GLI-00824-000_fake_label_41,0.692713,0.752107,0.390534,0.935498,0.574721,0.602702,0.242648,0.878813
BraTS-GLI-00824-000_fake_label_42,0.679592,0.739994,0.395672,0.903110,0.552420,0.587294,0.246628,0.823337
BraTS-GLI-00824-000_fake_label_43,0.692187,0.782307,0.360548,0.933706,0.579342,0.642450,0.219920,0.875655
BraTS-GLI-00824-000_fake_label_44,0.711979,0.800527,0.395733,0.939678,0.600098,0.667399,0.246676,0.886219
BraTS-GLI-00824-000_fake_label_45,0.698792,0.781942,0.375081,0.939353,0.586143,0.641958,0.230830,0.885642
BraTS-GLI-00824-000_fake_label_48,0.729666,0.857720,0.380770,0.950509,0.630575,0.750885,0.235155,0.905686
BraTS-GLI-00824-000_fake_label_49,0.739848,0.789713,0.483404,0.946428,0.623182,0.652501,0.318743,0.898303
BraTS-GLI-00824-000_fake_label_51,0.736617,0.805213,0.458293,0.946344,0.623118,0.673939,0.297264,0.898152
BraTS-GLI-00824-000_fake_label_54,0.711573,0.785099,0.404100,0.945520,0.598702,0.646225,0.253212,0.896669
BraTS-GLI-00824-000_fake_label_55,0.726184,0.804964,0.429435,0.944154,0.613744,0.673590,0.273427,0.894215
BraTS-GLI-00824-000_fake_label_57,0.735382,0.791410,0.468276,0.946462,0.619635,0.654820,0.305718,0.898366
BraTS-GLI-00824-000_fake_label_58,0.749417,0.825128,0.482868,0.940255,0.635945,0.702313,0.318277,0.887246
BraTS-GLI-00824-000_fake_label_6,0.709177,0.798328,0.383572,0.945632,0.599505,0.664347,0.237296,0.896871
BraTS-GLI-00824-000_fake_label_61,0.719411,0.788863,0.424264,0.945106,0.605505,0.651341,0.269248,0.895925
BraTS-GLI-00824-000_fake_label_63,0.745863,0.879395,0.405481,0.952714,0.649582,0.784751,0.254296,0.909699
BraTS-GLI-00824-000_fake_label_64,0.710245,0.769252,0.416702,0.944782,0.594519,0.625028,0.263186,0.895343
BraTS-GLI-00824-000_fake_label_7,0.694956,0.791060,0.360566,0.933241,0.583038,0.654341,0.219933,0.874838
BraTS-GLI-00824-000_fake_label_9,0.713099,0.823220,0.367878,0.948199,0.608817,0.699553,0.225399,0.901500
BraTS-GLI-00824-000_real_label_0,0.727152,0.822591,0.415636,0.943229,0.617846,0.698645,0.262336,0.892557
BraTS-GLI-00824-000_real_label_10,0.733637,0.814021,0.447814,0.939076,0.620008,0.686370,0.288505,0.885150
BraTS-GLI-00824-000_real_label_11,0.701861,0.771826,0.397726,0.936030,0.585470,0.628433,0.248226,0.879752
BraTS-GLI-00824-000_real_label_12,0.709898,0.749195,0.441027,0.939472,0.589240,0.598971,0.282896,0.885853
BraTS-GLI-00824-000_real_label_13,0.695580,0.809939,0.343917,0.932885,0.587489,0.680586,0.207669,0.874213
BraTS-GLI-00824-000_real_label_15,0.729844,0.780088,0.465428,0.944018,0.612243,0.639462,0.303295,0.893971
BraTS-GLI-00824-000_real_label_19,0.730436,0.798692,0.459022,0.933594,0.612729,0.664851,0.297877,0.875458
BraTS-GLI-00824-000_real_label_20,0.722243,0.783097,0.447074,0.936559,0.604032,0.643516,0.287891,0.880687
BraTS-GLI-00824-000_real_label_21,0.699287,0.764337,0.393728,0.939796,0.583371,0.618564,0.245119,0.886429
BraTS-GLI-00824-000_real_label_22,0.718611,0.810869,0.404303,0.940661,0.607747,0.681901,0.253371,0.887970
BraTS-GLI-00824-000_real_label_23,0.732555,0.824331,0.431883,0.941451,0.621984,0.701159,0.275415,0.889379
BraTS-GLI-00824-000_real_label_25,0.705071,0.756667,0.425238,0.933309,0.584523,0.608579,0.270033,0.874957
BraTS-GLI-00824-000_real_label_28,0.732738,0.796641,0.468405,0.933167,0.614184,0.662015,0.305828,0.874708
BraTS-GLI-00824-000_real_label_3,0.733159,0.819691,0.447403,0.932383,0.618655,0.694472,0.288164,0.873331
BraTS-GLI-00824-000_real_label_30,0.700670,0.773632,0.405705,0.922673,0.580584,0.630832,0.254473,0.856447
BraTS-GLI-00824-000_real_label_33,0.629925,0.649100,0.393436,0.847240,0.486785,0.480494,0.244893,0.734967
BraTS-GLI-00824-000_real_label_38,0.722713,0.769136,0.457830,0.941173,0.603544,0.624875,0.296874,0.888883
BraTS-GLI-00824-000_real_label_4,0.736132,0.859608,0.419283,0.929504,0.629108,0.753783,0.265249,0.868292
BraTS-GLI-00824-000_real_label_40,0.713877,0.773127,0.423108,0.945396,0.598308,0.630160,0.268318,0.896446
BraTS-GLI-00824-000_real_label_46,0.672160,0.663580,0.409163,0.943737,0.549068,0.496535,0.257200,0.893468
BraTS-GLI-00824-000_real_label_47,0.690177,0.786199,0.370104,0.914226,0.572265,0.647717,0.227072,0.842004
BraTS-GLI-00824-000_real_label_5,0.694935,0.736838,0.413209,0.934759,0.573748,0.583328,0.260406,0.877509
BraTS-GLI-00824-000_real_label_50,0.744435,0.805486,0.489223,0.938597,0.627480,0.674321,0.323822,0.884298
BraTS-GLI-00824-000_real_label_52,0.711966,0.778165,0.438832,0.918902,0.589315,0.636882,0.281092,0.849970
BraTS-GLI-00824-000_real_label_53,0.704760,0.802630,0.390657,0.920993,0.588876,0.670327,0.242743,0.853557
BraTS-GLI-00824-000_real_label_56,0.725220,0.788728,0.498269,0.888663,0.594196,0.651156,0.331797,0.799633
BraTS-GLI-00824-000_real_label_59,0.705391,0.743175,0.446995,0.926002,0.580446,0.591311,0.287826,0.862202
BraTS-GLI-00824-000_real_label_60,0.691026,0.782765,0.387508,0.902806,0.568739,0.643068,0.240317,0.822831
BraTS-GLI-00824-000_real_label_62,0.681958,0.726211,0.390478,0.929184,0.560153,0.570119,0.242605,0.867734
BraTS-GLI-00824-000_real_label_65,0.685266,0.813918,0.316123,0.925758,0.578579,0.686223,0.187735,0.861778
BraTS-GLI-00824-000_real_label_8,0.695835,0.796591,0.359687,0.931229,0.584177,0.661945,0.219280,0.871308
